t=2026-08-05T13:52:07+0700 lvl=info msg="command usage" msg="Flag --region has been deprecated, ngrok automatically chooses the region with lowest latency"
t=2026-08-05T13:52:07+0700 lvl=info msg="no configuration paths supplied"
t=2026-08-05T13:52:07+0700 lvl=info msg="using configuration at default config path" path=C:\\Users\\ptn_z\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-08-05T13:52:07+0700 lvl=info msg="open config file" path=C:\\Users\\ptn_z\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-08-05T13:52:07+0700 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-08-05T13:52:07+0700 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-08-05T13:52:12+0700 lvl=info msg="client session established" obj=tunnels.session
t=2026-08-05T13:52:12+0700 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-08-05T13:52:13+0700 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:5173 url=https://appointee-zigzagged-arena.ngrok-free.dev
t=2026-08-05T13:52:31+0700 lvl=info msg=start pg=/api/tunnels id=d7816e81b3f3cf41
t=2026-08-05T13:52:31+0700 lvl=info msg=end pg=/api/tunnels id=d7816e81b3f3cf41 status=200 dur=507.8µs
t=2026-08-05T13:52:43+0700 lvl=info msg="join connections" obj=join id=7d8157b832f2 l=127.0.0.1:5173 r=13.125.255.153:47824
t=2026-08-05T13:52:44+0700 lvl=info msg="join connections" obj=join id=1dfb0e5b5f09 l=127.0.0.1:5173 r=13.125.255.153:47824
t=2026-08-05T13:52:46+0700 lvl=info msg="join connections" obj=join id=132310805dc3 l=127.0.0.1:5173 r=13.125.255.153:47824
t=2026-08-05T13:52:46+0700 lvl=info msg="join connections" obj=join id=3e7e01554606 l=127.0.0.1:5173 r=13.125.255.153:47824
t=2026-08-05T13:52:46+0700 lvl=info msg="join connections" obj=join id=3fb9f269396d l=127.0.0.1:5173 r=13.125.255.153:47824
t=2026-08-05T13:52:46+0700 lvl=info msg="join connections" obj=join id=51218fa4f3de l=127.0.0.1:5173 r=13.125.255.153:47824
t=2026-08-05T13:52:46+0700 lvl=info msg="join connections" obj=join id=ea8225c40722 l=127.0.0.1:5173 r=13.125.255.153:47824
t=2026-08-05T13:52:46+0700 lvl=info msg="join connections" obj=join id=149a9c35576a l=127.0.0.1:5173 r=13.125.255.153:47824
t=2026-08-05T13:52:46+0700 lvl=info msg="join connections" obj=join id=d857203274ed l=127.0.0.1:5173 r=13.125.255.153:47824
t=2026-08-05T13:52:46+0700 lvl=info msg="join connections" obj=join id=24771081cf8d l=127.0.0.1:5173 r=13.125.255.153:47824
t=2026-08-05T13:52:46+0700 lvl=info msg="join connections" obj=join id=3108328da8be l=127.0.0.1:5173 r=13.125.255.153:47824
t=2026-08-05T13:52:47+0700 lvl=info msg="join connections" obj=join id=c3964d9fd83f l=127.0.0.1:5173 r=13.125.255.153:47824
t=2026-08-05T13:52:47+0700 lvl=info msg="join connections" obj=join id=5a08b760b9fb l=127.0.0.1:5173 r=13.125.255.153:47824
t=2026-08-05T13:52:47+0700 lvl=info msg="join connections" obj=join id=e41686359a7c l=127.0.0.1:5173 r=13.125.255.153:47824
t=2026-08-05T13:52:47+0700 lvl=info msg="join connections" obj=join id=d84d58f4a53d l=127.0.0.1:5173 r=13.125.255.153:47824
t=2026-08-05T13:52:47+0700 lvl=info msg="join connections" obj=join id=54948a50a31e l=127.0.0.1:5173 r=13.125.255.153:47824
t=2026-08-05T13:52:47+0700 lvl=info msg="join connections" obj=join id=04119f2e237c l=127.0.0.1:5173 r=13.125.255.153:47824
t=2026-08-05T13:52:47+0700 lvl=info msg="join connections" obj=join id=9167e54bee1f l=127.0.0.1:5173 r=13.125.255.153:47824
t=2026-08-05T13:52:48+0700 lvl=info msg="join connections" obj=join id=cf61dcd2424d l=127.0.0.1:5173 r=13.125.255.153:17804
t=2026-08-05T13:52:48+0700 lvl=info msg="join connections" obj=join id=a0e8b8593648 l=127.0.0.1:5173 r=13.125.255.153:47824
